Rk,Squad,MP,W,D,L,GF,GA,GD,Pts,Pts/MP,xG,xGA,xGD,xGD/90,Attendance,Top Team Scorer,Goalkeeper,Notes
1,Arsenal,20,18,0,2,70,13,+57,54,2.70,45.7,11.8,+33.9,+1.70,2010,Vivianne Miedema - 22,Pauline Peyraud Magnin,
2,Manchester City,20,14,5,1,53,17,+36,47,2.35,47.3,20.1,+27.2,+1.36,1506,Nikita Parris - 19,Ellie Roebuck,
3,Chelsea,20,12,6,2,46,14,+32,42,2.10,43.6,13.4,+30.2,+1.51,2040,Bethany England - 12,Carly Telford,
4,Birmingham City,20,13,1,6,29,17,+12,40,2.00,24.8,21.2,+3.5,+0.18,866,Ellen White - 6,Hannah Hampton,
5,Reading,20,8,3,9,33,30,+3,27,1.35,30.3,27.9,+2.4,+0.12,810,Fara Williams - 11,Grace Moloney,
6,Bristol City,20,7,4,9,17,34,-17,25,1.25,14.1,36.6,-22.5,-1.13,485,Lucy Graham - 7,Sophie Baggaley,
7,West Ham,20,7,2,11,25,37,-12,23,1.15,21.4,31.1,-9.8,-0.49,879,Jane Ross - 7,Rebecca Spencer,
8,Liverpool,20,7,1,12,21,38,-17,22,1.10,22.4,26.9,-4.5,-0.23,530,Courtney Sweetman-Kirk - 10,Anke Preuß,
9,Brighton,20,4,4,12,16,38,-22,16,0.80,19.7,26.8,-7.1,-0.36,975,Ellie Brazil - 4,Marie Hourihan,
10,Everton,20,3,3,14,15,38,-23,12,0.60,20.2,30.3,-10.1,-0.51,200,Inessa Kaagman - 4,Kirstie Levell,
11,Yeovil Town,20,2,1,17,11,60,-49,-3,-0.15,12.7,55.8,-43.2,-2.16,719,Ellie Mason - 3,Megan Walsh,10-point deduction Relegated
